antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'TAGG Sonic Angle 2 14W Portable Bluetooth Speakers Wireless with Dedicated Bass Radiator || Dual Stereo, Waterproof, 10 hr...'})","frozenset({'boAt Xtend/Xtend RTL Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 ...'})",0.0833,0.0841,0.0251,0.3013205282112845,3.582883807506356,1.0,0.01809447,1.3109015463917526,0.7864025516783092,0.17638791286015462,0.23716620614836173,0.29988737468828197
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})","frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.115,0.1174,0.0571,0.49652173913043474,4.229316346937264,1.0,0.043599,1.75300518134715,0.8627741992935379,0.32572732458642323,0.42955103005940937,0.49144655951411004
"frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})","frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.1174,0.115,0.0571,0.48637137989778534,4.229316346937264,1.0,0.043599,1.7230348258706467,0.8651202882107195,0.32572732458642323,0.4196286778506049,0.49144655951411004
frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.1142,0.115,0.0549,0.4807355516637478,4.1803091449021546,1.0,0.041767,1.7043338954468803,0.8588657058688779,0.31497418244406195,0.41326051035451733,0.47906342800578694
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.115,0.1142,0.0549,0.47739130434782606,4.1803091449021546,1.0,0.041767,1.6949584026622295,0.8596420816481944,0.31497418244406195,0.41001501958436,0.47906342800578694
frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),"frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.1142,0.1174,0.0549,0.4807355516637478,4.094851377033627,1.0,0.041492919999999996,1.69971197301855,0.8532297274010793,0.31069609507640067,0.41166502567839086,0.474183789460494
"frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.1174,0.1142,0.0549,0.4676320272572402,4.094851377033627,1.0,0.041492919999999996,1.66388672,0.8563232410286381,0.31069609507640067,0.3989975471407092,0.474183789460494
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})","frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.0549,0.115,0.0218,0.3970856102003643,3.4529183495683853,1.0,0.0154865,1.4678700906344413,0.7516558123551801,0.14719783929777178,0.3187408024862874,0.2933254137958343
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})","frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.0549,0.1174,0.0218,0.3970856102003643,3.382330580923035,1.0,0.01535474,1.4638894259818733,0.7452606830596054,0.1448504983388704,0.3168882961708184,0.29138777954651945
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.0571,0.1142,0.0218,0.38178633975481613,3.3431378262243094,1.0,0.01527918,1.4328379603399435,0.7433235937148812,0.145819397993311,0.3020843754287832,0.28633975481611207
frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),"frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.1119,0.1174,0.0557,0.49776586237712245,4.239913648868164,1.0,0.04256294,1.7573476868327402,0.8604280374236085,0.32085253456221197,0.430960641714392,0.486106099842735
"frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.1174,0.1119,0.0557,0.4744463373083475,4.239913648868163,1.0,0.04256294,1.6898369529983792,0.8657898708768487,0.32085253456221197,0.4082269308730408,0.486106099842735
frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.1142,0.1119,0.0516,0.45183887915936954,4.0378809576351165,1.0,0.03882102,1.6201440894568688,0.8493399738509926,0.295702005730659,0.38277094827088115,0.45648244226064993
frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.1119,0.1142,0.0516,0.4611260053619303,4.0378809576351165,1.0,0.03882102,1.6437980099502492,0.847140354506485,0.295702005730659,0.39165274933611455,0.45648244226064993
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.115,0.1119,0.051,0.44347826086956516,3.9631658701480355,1.0,0.0381315,1.5958046874999996,0.8448321701561982,0.289937464468448,0.37335689772499175,0.44962116796829465
frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.1119,0.115,0.051,0.4557640750670241,3.9631658701480355,1.0,0.0381315,1.6261330049261082,0.8418832007524325,0.289937464468448,0.3850441526181063,0.44962116796829465
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'})","frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.0516,0.1174,0.0224,0.43410852713178294,3.697687624631882,1.0,0.01634216,1.5596630136986303,0.7692542326926554,0.15279672578444747,0.3588358567094753,0.31245460428139404
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.0549,0.1119,0.0224,0.4080145719489982,3.646242823494175,1.0,0.01625669,1.5002058461538463,0.7679029618936772,0.15512465373961218,0.3334248079596872,0.3040966514794142
"frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.0557,0.1142,0.0224,0.4021543985637343,3.5214921065125595,1.0,0.01603906,1.4816534534534538,0.7582648144506136,0.151864406779661,0.32507834563528365,0.2991507544482419
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...', 'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'})","frozenset({'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",0.051,0.1174,0.0215,0.4215686274509804,3.5908741690884187,1.0,0.015512599999999998,1.5258508474576273,0.7602911265224104,0.146358066712049,0.34462794861883117,0.3023516050372449
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})",frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.0571,0.1119,0.0215,0.3765323992994746,3.3649007980292636,1.0,0.015110509999999999,1.4244525280898876,0.7453753511556381,0.14576271186440679,0.29797590282566666,0.28433411743347276
"frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...', 'Kodak 180GSM Photo Paper for Canon, HP, Kodak, Epson, Dell, Lexmark Printers - Pack of 100 Sheets, White, 5R (VMS180G5R100KD)'})","frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.0557,0.115,0.0215,0.3859964093357271,3.356490515962844,1.0,0.015094499999999997,1.441359649122807,0.7434816980216672,0.14410187667560317,0.3062106320177707,0.2864764655374288
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'})","frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",0.0516,0.115,0.0189,0.36627906976744184,3.185035389282103,1.0,0.012966,1.39651376146789,0.7233569654489097,0.12796208530805686,0.2839311522795953,0.2653134479271992
"frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)', 'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...'})",frozenset({'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'}),0.0549,0.1119,0.0189,0.3442622950819672,3.07651738232321,1.0,0.012756690000000001,1.3543524999999998,0.7141647898181598,0.127789046653144,0.2616397872784227,0.25658154968575575
"frozenset({'AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case...', 'Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Lapt...'})",frozenset({'(Renewed) HP Wireless Mouse X200 (6VY95AA)'}),0.051,0.1142,0.0189,0.37058823529411766,3.2450808694756366,1.0,0.013075800000000002,1.4073457943925234,0.7290213591583455,0.1291866028708134,0.28944257766326226,0.26804367981868754
frozenset({'OGX Travel Thick & Full+ Biotin & Collagen Shampoo 88.7 ml'}),"frozenset({'OGX Travel Nourishing + Coconut Milk Nourishing Moisturizing Shampoo | Dry, Damage & Healthy Hair, with Coconut Milk Oil &...'})",0.0783,0.0856,0.0245,0.31289910600255433,3.655363387880308,1.0,0.01779752,1.3308089219330856,0.7881408134480874,0.17575322812051652,0.2485773250246657,0.2995570296367912
"frozenset({'NIVEA Lip Balm, Glossy Finish - Fruity Cherry Shine, 4.8g'})","frozenset({'Beardhood Onion Shampoo With Caffeine For Hair Growth & Hairfall Control - Sulfate & Paraben Free, 200ml'})",0.0779,0.0819,0.0244,0.313222079589217,3.824445416229756,1.0,0.01801999,1.3368222429906544,0.8009154975901407,0.18020679468242248,0.2519573898150713,0.30557318875675743
"frozenset({'ESR Clear Case Compatible with iPhone 14 Pro Max Case, Shockproof Thin Silicone Cover, TPU,Yellowing-Resistant Slim Transp...'})",frozenset({'POPIO Tempered Glass Screen Protector Compatible For iPhone XR/iPhone 11 with Edge to Edge Coverage and Easy Installation ...'}),0.0834,0.0858,0.0252,0.302158273381295,3.5216581979171906,1.0,0.01804428,1.310039175257732,0.7811944764814065,0.175,0.23666404876536315,0.2979322835437943
frozenset({'Mobistyle Compatible for iPhone 13 Case 6.1 inch Hybrid PC+TPU Soft Grip Matte Finish Clear Back Panel Thin Cover for iPho...'}),"frozenset({'ESR Clear Case Compatible with iPhone 14 Pro Max Case, Shockproof Thin Silicone Cover, TPU,Yellowing-Resistant Slim Transp...'})",0.0798,0.0834,0.0247,0.30952380952380953,3.711316660956949,1.0,0.01804468,1.3274896551724138,0.7939076789326736,0.1783393501805054,0.24669846118678762,0.302843439534087
frozenset({'Mobistyle Compatible for iPhone 13 Case 6.1 inch Hybrid PC+TPU Soft Grip Matte Finish Clear Back Panel Thin Cover for iPho...'}),frozenset({'POPIO Tempered Glass Compatible for iPhone 13 / iPhone 13 Pro/iPhone 14 (Transparent) Edge to Edge Full Screen Coverage wi...'}),0.0798,0.0837,0.0242,0.3032581453634085,3.6231558585831363,1.0,0.01752074,1.3151212230215825,0.7867827870692862,0.17372577171572148,0.2396138222889976,0.29619299143917144
"frozenset({'Tough Lee Camera Lens Protector Tempered Glass for Apple iPhone 14, iPhone 14 Plus (Transparent) Pack of 1'})",frozenset({'POPIO Tempered Glass Screen Protector Compatible For iPhone XR/iPhone 11 with Edge to Edge Coverage and Easy Installation ...'}),0.0835,0.0858,0.0273,0.3269461077844311,3.8105606967882415,1.0,0.0201357,1.3582864768683274,0.8047696983867196,0.19225352112676056,0.26377828460340313,0.3225639629831246
frozenset({'POPIO Tempered Glass Screen Protector Compatible For iPhone XR/iPhone 11 with Edge to Edge Coverage and Easy Installation ...'}),"frozenset({'Tough Lee Camera Lens Protector Tempered Glass for Apple iPhone 14, iPhone 14 Plus (Transparent) Pack of 1'})",0.0858,0.0835,0.0273,0.3181818181818182,3.8105606967882415,1.0,0.0201357,1.3441999999999998,0.8067943869737787,0.19225352112676056,0.2560630858503199,0.3225639629831246
"frozenset({'Tough Lee Camera Lens Protector Tempered Glass for Apple iPhone 14, iPhone 14 Plus (Transparent) Pack of 1'})","frozenset({'Elv Wall Mount Mobile Holder, Mobile Stand for All Smartphones with Strong Adhesive Strips, Compatible with iPhone, Smartp...'})",0.0835,0.1462,0.0259,0.31017964071856285,2.121611769620813,1.0,0.0136923,1.2377135416666667,0.5768251300166194,0.1270853778213935,0.192058609415042,0.24366711174095038
frozenset({'MODICARE SALON PROFESSIONAL ADVANCED FORMULA SMOOTH & SHINE SHAMPOO'}),"frozenset({'OGX Travel Nourishing + Coconut Milk Nourishing Moisturizing Shampoo | Dry, Damage & Healthy Hair, with Coconut Milk Oil &...'})",0.0766,0.0856,0.0235,0.30678851174934724,3.5839779409970474,1.0,0.01694304,1.3190779661016947,0.7807888515615279,0.16943042537851477,0.24189469788861245,0.2906606110148605
"frozenset({'Beardhood Onion Shampoo With Caffeine For Hair Growth & Hairfall Control - Sulfate & Paraben Free, 200ml'})","frozenset({'OGX Travel Nourishing + Coconut Milk Nourishing Moisturizing Shampoo | Dry, Damage & Healthy Hair, with Coconut Milk Oil &...'})",0.0819,0.0856,0.0251,0.3064713064713065,3.5802722718610576,1.0,0.018089360000000002,1.318474647887324,0.7849816288706409,0.17626404494382025,0.2415477979782442,0.29984780276836354
